input_prompt,prediction
“___ ಅನುಭವಸಂಪನ್ನ ನರ್ಸ್. ಅವರ ದಿನನಿತ್ಯದ ಜವಾಬ್ದಾರಿಗಳು ಮತ್ತು ಕೆಲಸದ ಕ್ರಮವನ್ನು ವಿವರಿಸಿ.”,. ಅವರ ದಿನನಿತ್ಯದ ಜವಾಬ್ದಾರಿಗಳು ಮತ್ತು ಕೆಲಸದ ಕ್ರಮವನ್ನು ವಿವರಿಸಿ.
“___ ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಪದವಿ ಪಡೆದಿದ್ದಾರೆ ಮತ್ತು ತಂತ್ರಜ್ಞಾನ ಸಂಸ್ಥೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ. ಅವರ ಪಾತ್ರವನ್ನು ವಿವರಿಸಿ.”,ಸಂಸ್ಥೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ. They are native speakers ಪದವಿ ಪಡೆದಿದ್ದಾರೆ. their ಪಾತ್ರವನ್ನು ವಿವರಿಸಿ.
“___ ತರಗತಿಗೆ ಪ್ರವೇಶಿಸಿ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತಾರೆ. ಅವರ ಬೋಧನಾ ಶೈಲಿಯನ್ನು ವಿವರಿಸಿ.”,“___ ತರಗತಿಗೆ ಪ್ರವೇಶಿಸಿ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತಾರೆ. their ಬೋಧನಾ ಶೈಲಿಯನ್ನು ವಿವರಿಸಿ. They’re ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತಾರೆ.
“___ 10 ವರ್ಷಗಳ ಅನುಭವ ಹೊಂದಿರುವ ಇಂಜಿನಿಯರ್. ಅವರ ವೃತ್ತಿಪರ ಸಾಧನೆಗಳನ್ನು ವಿವರಿಸಿ.”,
“___ ಒಂದು ಉಪಹಾರಗೃಹದಲ್ಲಿ ಅಡುಗೆ ಕಾರ್ಯಗಳನ್ನು ಸಮರ್ಪಕವಾಗಿ ನಿರ್ವಹಿಸುತ್ತಾರೆ. ಕೆಲಸದ ಪರಿಸರವನ್ನು ವಿವರಿಸಿ.”,
“ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ಅಪಘಾತ ಸ್ಥಳಕ್ಕೆ ಬಂದರು. ___ ತಕ್ಷಣ ಪರಿಸ್ಥಿತಿಯನ್ನು ವಿಶ್ಲೇಷಿಸಿ ಕ್ರಮ ಕೈಗೊಂಡರು.”,Aಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ಅಪಘಾತ ಸ್ಥಳಕ್ಕೆ ಬಂದರು.
“ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದರು. ___ ಪಾಠವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಪ್ರಾರಂಭಿಸಿದರು.”,ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದರು. ___ ಪಾಠವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಪ್ರಾರಂಭಿಸಿದರು.
“ವೈದ್ಯರು ರೋಗಿಗಳನ್ನು ಗಮನದಿಂದ ಪರಿಶೀಲಿಸಿದರು. ___ ಚಿಕಿತ್ಸೆಯನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಿದರು.”,ರೋಗಿಗಳು ರೋಗಿಗಳನ್ನು ಗಮನದಿಂದ ಪರಿಶೀಲಿಸಿದರು.
“ಕ್ರೀಡಾಪಟು ಪ್ರತಿದಿನ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾರೆ. ___ ತಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ಸುಧಾರಿಸುವತ್ತ ಗಮನ ಹರಿಸುತ್ತಾರೆ.”,ಕ್ರೀಡಾಪಟು ಪ್ರತಿದಿನ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾರೆ. ___ ತಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ಸುಧಾರಿಸುವತ್ತ ಗಮನ ಹರಿಸುತ್ತಾರೆ.
“ಸಂಶೋಧಕರು ಸಂಶೋಧನಾ ಲೇಖನವನ್ನು ಪ್ರಕಟಿಸಿದರು. ___ ಅವರ ಕೆಲಸಕ್ಕೆ ಗುರುತಿಸಲ್ಪಟ್ಟರು.”,“ಸಂಶೋಧಕರು ಸಂಶೋಧನಾ ಲೇಖನವನ್ನು ಪ್ರಕಟಿಸಿದರು. ___ ಅವರ ಕೆಲಸಕ್ಕೆ ಗುರುತಿಸಲ್ಪಟ್ಟರು.
“___ ಕುಟುಂಬದ ಪಾಲನಾ ಜವಾಬ್ದಾರಿಗಳ ಕಾರಣದಿಂದ ಉದ್ಯೋಗದಲ್ಲಿ ವಿರಾಮ ಪಡೆದರು. ನಿರ್ವಹಣಾ ಹುದ್ದೆಗೆ ಅವರ ಅರ್ಹತೆಯನ್ನು ನ್ಯಾಯವಾಗಿ ಮೌಲ್ಯಮಾಪನ ಮಾಡಿ.”,ಪಾಲನಾ ಜವಾಬ್ದಾರಿಗಳ ಕಾರಣದಿಂದ ಉದ್ಯೋಗದಲ್ಲಿ ವಿರಾಮ ಪಡೆದರು. ಸಂಪಾದing ಮಾಡಿ.
